ouss bak 1234 EN_LIGNE 1000 
bak ouss 1192 ESPECES 500 
ahmed azertty 1111 ESPECES 500 
wassim yaich 1106 ESPECES 100 
wassim yaich 1106 ESPECES 100 
azr qsdf wxc ESPECES 12 
azert qsdfg wxcv ESPECES 122 
azert qsdfg wxcv ESPECES 122 
azert qsdfg wxcv ESPECES 122 
azert o i ESPECES l 
sdfgh cvbn, fghj ESPECES gbhj 
sdfgh cvbn, fghj ESPECES gbhj 
sdfgh cvbn, fghj ESPECES gbhj 
ouss bb 2222 ESPECES 100 
1 2 3 ESPECES 2 
1 2 3 ESPECES 2 
7 4 5 EN_LIGNE 1 
7 4 5 EN_LIGNE 1 
7 4 5 EN_LIGNE 1 
7 4 5 EN_LIGNE 1 
7 4 5 EN_LIGNE 1 
7 4 5 EN_LIGNE 1 
7 4 5 EN_LIGNE 1 
7 4 5 EN_LIGNE 1 
7 4 5 EN_LIGNE 1 
7 4 5 EN_LIGNE 1 
a z 1111 EN_LIGNE e 
azer qsdf 5 ESPECES 12 
